Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2008,Sergio Romo,25,3,1,29,0.5,2.12,8.74,8,0.157
2009,Sergio Romo,26,5,2,45,1.2,3.97,10.85,11,0.326
2010,Sergio Romo,27,5,3,68,1.2,2.18,10.16,14,0.261
2011,Sergio Romo,28,3,1,65,2.0,1.5,13.13,5,0.276
2012,Sergio Romo,29,4,2,69,1.0,1.79,10.25,10,0.239
2013,Sergio Romo,30,5,8,65,1.0,2.54,8.65,12,0.276
2014,Sergio Romo,31,6,4,64,-0.2,3.72,9.16,12,0.233
2015,Sergio Romo,32,0,5,70,1.8,2.98,11.15,10,0.331
2016,Sergio Romo,33,1,0,40,0.1,2.64,9.68,7,0.292
2017,Sergio Romo,34,3,1,55,0.3,3.56,9.54,19,0.243
2018,Sergio Romo,35,3,4,73,0.5,4.14,10.02,20,0.307
2019,Sergio Romo,36,2,1,65,1.0,3.43,8.95,17,0.264
2020,Sergio Romo,37,1,2,24,0.1,4.05,10.35,7,0.255
2021,Sergio Romo,38,1,1,66,0.2,4.67,8.76,21,0.281
2022,Sergio Romo,39,0,1,23,-0.8,7.5,7.0,6,0.231
