Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,Sonny Gray,23,5,3,12,1.5,2.67,9.42,20,0.276
2014,Sonny Gray,24,14,10,33,3.5,3.08,7.52,74,0.277
2015,Sonny Gray,25,14,7,31,3.9,2.73,7.31,59,0.255
2016,Sonny Gray,26,5,11,22,0.9,5.69,7.23,42,0.319
2017,Sonny Gray,27,10,12,27,2.7,3.55,8.48,57,0.269
2018,Sonny Gray,28,11,9,30,1.5,4.9,8.49,57,0.326
2019,Sonny Gray,29,11,8,31,4.5,2.87,10.52,68,0.255
2020,Sonny Gray,30,5,3,11,1.7,3.7,11.57,26,0.29
2021,Sonny Gray,31,7,9,26,2.4,4.19,10.31,50,0.28
2022,Sonny Gray,32,8,5,24,2.4,3.08,8.8,36,0.277
