Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2013,T.J. McFarland,24,4,1,38,0.4,4.22,6.99,28,0.319
2014,T.J. McFarland,25,4,2,37,0.5,2.76,5.22,13,0.337
2015,T.J. McFarland,26,2,2,30,-0.1,4.91,5.8,18,0.343
2016,T.J. McFarland,27,2,2,16,-0.3,6.93,2.55,10,0.333
2017,T.J. McFarland,28,4,5,43,0.2,5.33,4.83,17,0.323
2018,T.J. McFarland,29,2,2,47,0.3,2.0,5.25,22,0.268
2019,T.J. McFarland,30,0,0,51,0.0,4.82,5.62,20,0.346
2020,T.J. McFarland,31,2,0,23,-0.4,4.35,3.92,5,0.292
2021,T.J. McFarland,32,4,1,38,0.3,2.56,4.89,9,0.261
2022,T.J. McFarland,33,0,0,28,-0.3,6.61,4.41,11,0.333
