Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2008,Tommy Hunter,21,0,2,3,-0.1,16.36,7.36,3,0.413
2009,Tommy Hunter,22,9,6,19,1.7,4.1,5.14,33,0.275
2010,Tommy Hunter,23,13,4,23,0.9,3.73,4.78,33,0.255
2011,Tommy Hunter,24,4,4,20,0.5,4.68,4.78,15,0.302
2012,Tommy Hunter,25,7,8,33,-0.4,5.45,5.18,27,0.298
2013,Tommy Hunter,26,6,5,68,0.7,2.81,7.09,14,0.249
2014,Tommy Hunter,27,3,2,60,0.7,2.97,6.68,12,0.285
2015,Tommy Hunter,28,4,2,58,0.3,4.18,7.01,14,0.3
2016,Tommy Hunter,29,2,2,33,0.6,3.18,6.09,8,0.324
2017,Tommy Hunter,30,3,5,61,1.1,2.61,9.82,14,0.259
2018,Tommy Hunter,31,5,4,65,0.7,3.8,7.17,15,0.303
2020,Tommy Hunter,33,0,1,24,0.5,4.01,9.12,6,0.303
2022,Tommy Hunter,35,0,1,18,0.0,2.42,8.87,6,0.274
