Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2011,Tommy Milone,24,1,0,5,0.4,3.81,5.19,4,0.299
2012,Tommy Milone,25,13,10,31,3.1,3.74,6.49,36,0.31
2013,Tommy Milone,26,12,9,28,1.2,4.14,7.25,39,0.284
2014,Tommy Milone,27,6,4,22,0.5,4.19,5.72,37,0.29
2015,Tommy Milone,28,9,5,24,1.7,3.92,6.37,36,0.279
2016,Tommy Milone,29,3,5,19,-0.1,5.71,6.36,22,0.308
2017,Tommy Milone,30,1,3,17,-0.4,7.63,7.08,14,0.325
2018,Tommy Milone,31,1,1,5,0.3,5.81,7.86,1,0.349
2019,Tommy Milone,32,4,10,23,0.0,4.76,7.58,23,0.252
2020,Tommy Milone,33,1,4,9,0.5,6.69,9.23,6,0.371
2021,Tommy Milone,34,1,0,6,0.1,6.43,10.93,3,0.405
2022,Tommy Milone,35,1,1,7,-0.3,5.4,2.7,6,0.189
