Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2011,Wade Miley,24,4,2,8,-0.1,4.5,5.63,18,0.321
2012,Wade Miley,25,16,11,32,3.9,3.33,6.66,37,0.293
2013,Wade Miley,26,10,10,33,1.6,3.55,6.53,66,0.296
2014,Wade Miley,27,8,12,33,1.3,4.34,8.18,75,0.317
2015,Wade Miley,28,11,11,32,2.7,4.46,6.83,64,0.307
2016,Wade Miley,29,9,13,30,1.8,5.37,7.43,49,0.328
2017,Wade Miley,30,8,15,32,0.9,5.61,8.12,93,0.332
2018,Wade Miley,31,5,2,16,1.3,2.57,5.58,27,0.269
2019,Wade Miley,32,14,6,33,2.0,3.98,7.53,61,0.287
2020,Wade Miley,33,0,3,6,0.1,5.65,7.53,9,0.326
2021,Wade Miley,34,12,7,28,3.0,3.37,6.9,50,0.301
2022,Wade Miley,35,2,2,9,0.5,3.16,6.81,14,0.25
