Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2012,Yu Darvish,25,16,9,29,4.7,3.9,10.4,89,0.295
2013,Yu Darvish,26,13,9,32,4.6,2.83,11.89,80,0.264
2014,Yu Darvish,27,10,7,22,3.5,3.06,11.35,49,0.334
2016,Yu Darvish,29,7,5,17,2.8,3.41,11.84,31,0.29
2017,Yu Darvish,30,10,12,31,3.7,3.86,10.08,58,0.283
2018,Yu Darvish,31,1,3,8,0.2,4.95,11.03,21,0.293
2019,Yu Darvish,32,6,8,31,2.6,3.98,11.54,56,0.266
2020,Yu Darvish,33,8,3,12,2.9,2.01,11.01,14,0.295
2021,Yu Darvish,34,8,11,30,2.9,4.22,10.77,44,0.274
2022,Yu Darvish,35,16,8,30,4.2,3.1,9.11,37,0.25
