Date,Name,Age,W,L,G,WAR,ERA,K/9,BB,BABIP
2007,Zack Greinke,23,7,7,52,2.1,3.69,7.82,36,0.314
2008,Zack Greinke,24,13,10,32,4.2,3.47,8.14,56,0.308
2009,Zack Greinke,25,16,8,33,8.7,2.16,9.5,51,0.303
2010,Zack Greinke,26,10,14,33,4.9,4.17,7.4,55,0.305
2011,Zack Greinke,27,16,6,28,3.3,3.83,10.54,45,0.318
2012,Zack Greinke,28,15,5,34,4.8,3.48,8.48,54,0.306
2013,Zack Greinke,29,15,4,28,3.4,2.63,7.5,46,0.276
2014,Zack Greinke,30,17,8,32,4.5,2.71,9.21,43,0.311
2015,Zack Greinke,31,19,3,32,5.3,1.66,8.08,40,0.229
2016,Zack Greinke,32,13,7,26,2.3,4.37,7.6,41,0.294
2017,Zack Greinke,33,17,7,32,4.9,3.2,9.56,45,0.285
2018,Zack Greinke,34,15,11,33,2.7,3.21,8.62,43,0.272
2019,Zack Greinke,35,18,5,33,5.3,2.93,8.07,30,0.271
2020,Zack Greinke,36,3,3,12,2.2,4.03,9.0,9,0.321
2021,Zack Greinke,37,11,6,30,1.3,4.16,6.32,36,0.263
2022,Zack Greinke,38,4,9,26,1.9,3.68,4.8,27,0.306
